Username,Subscribe Date,Current Tier,Tenure,Streak,Sub Type,Founder
lowercase_guyy,2020-10-31T03:46:37Z,Tier 1,1,1,gift,false
ahmooleh,2020-11-08T22:32:35Z,Tier 1,2,2,recurring,false
im_liy,2020-10-08T23:55:54Z,Tier 1,2,2,recurring,false
brandonrow93,2020-11-07T01:10:49Z,Tier 1,1,1,gift,false
cftunes,2020-10-31T03:53:38Z,Tier 1,1,1,gift,false
alexlaboymusic,2020-11-04T23:50:31Z,Tier 1,1,1,gift,false
badmonswerv,2020-11-05T01:22:41Z,Tier 1,1,1,gift,false
producedbydraztic,2020-11-24T22:43:06Z,Tier 1,2,2,recurring,false
jojomoumou,2020-11-08T22:22:38Z,Tier 1,2,2,recurring,false
prodbygiri,2020-11-12T22:23:58Z,Tier 1,2,2,gift,false
jglassfrfr,2020-11-12T22:23:58Z,Tier 1,1,1,gift,false
beal_,2020-11-13T22:15:05Z,Tier 1,2,2,gift,false
x3njo,2020-10-08T21:26:51Z,Tier 1,2,2,recurring,true
alextumay,2020-11-12T22:16:58Z,Tier 1,2,2,subtoken,false
fervourmusic,2020-11-13T22:13:50Z,Tier 1,1,1,gift,false
armini2001,2020-10-31T03:53:38Z,Tier 1,1,1,gift,false
bodreza,2020-11-13T05:38:04Z,Tier 1,2,2,recurring,false
modusflow,2020-10-31T15:49:04Z,Tier 1,1,1,recurring,false
bryan_briscoe_,2020-11-13T21:52:07Z,Tier 1,1,1,gift,false
mixedbyjo,2020-10-31T03:53:38Z,Tier 1,1,1,gift,false
mixedbygreg,2020-10-09T02:40:34Z,Tier 1,2,2,recurring,false
shuiwithme,2020-11-12T22:56:38Z,Tier 1,2,2,gift,false
chima___,2020-11-24T22:46:31Z,Tier 1,1,1,prime,false
megamadz,2020-10-31T03:53:38Z,Tier 1,1,1,gift,false
smithmusix,2020-10-31T14:08:24Z,Tier 1,1,1,subtoken,false
masterastakhov,2020-11-05T21:40:32Z,Tier 1,1,1,recurring,false
gilgenmusic,2020-11-13T22:37:08Z,Tier 1,2,2,recurring,false
jordanredroom,2020-11-13T17:37:00Z,Tier 3,2,2,recurring,false
officialchriisperry,2020-10-12T15:52:11Z,Tier 1,2,2,recurring,false
rssound__,2020-11-04T23:43:47Z,Tier 1,1,1,gift,false
fpomarada1234,2020-10-31T03:46:37Z,Tier 1,1,1,gift,false
jrsbeats,2020-11-04T23:39:24Z,Tier 1,1,1,gift,false
troggy414,2020-11-16T23:00:29Z,Tier 1,1,1,recurring,false
karnivaltv,2020-11-06T23:34:10Z,Tier 1,1,1,prime,false
urfamousfriend,2020-11-05T03:20:33Z,Tier 1,1,1,recurring,false
felixbyrne,2020-11-10T19:23:15Z,Tier 1,2,2,recurring,false
johnbjurstrom,2020-11-21T14:40:13Z,Tier 1,1,1,recurring,false
james_heaney,2020-11-22T22:33:25Z,Tier 1,1,1,recurring,false
do_the_du,2020-10-08T23:23:29Z,Tier 1,2,2,recurring,false
dylanchambersmusic,2020-11-06T23:40:57Z,Tier 1,1,1,gift,false
georgebrainshaker,2020-11-04T23:50:31Z,Tier 1,1,1,gift,false
mixbydb,2020-11-04T23:50:31Z,Tier 1,1,1,gift,false
iisben,2020-10-31T03:53:38Z,Tier 1,1,1,gift,false
johnnydibb,2020-11-08T19:24:53Z,Tier 1,2,2,subtoken,true
truemezzo,2020-10-31T03:46:37Z,Tier 1,1,1,gift,false
listovsky,2020-11-13T22:13:50Z,Tier 1,1,1,gift,false
sebruban,2020-10-31T03:53:38Z,Tier 1,1,1,gift,false
tonyferrarimusic,2020-11-13T20:48:53Z,Tier 1,1,1,gift,false
choosterlujah,2020-11-13T21:51:45Z,Tier 1,1,1,gift,false
eightballshawtyy,2020-11-24T22:42:29Z,Tier 1,1,1,gift,false
phatebeats,2020-10-31T03:19:14Z,Tier 1,1,1,gift,false
chriswallitsch,2020-11-04T23:50:31Z,Tier 1,1,1,gift,false
rrivermont,2020-11-23T21:49:23Z,Tier 1,1,1,prime,false
bbbboya____,2020-10-31T03:19:14Z,Tier 1,1,1,gift,false
ruben_adcr,2020-11-06T22:28:54Z,Tier 1,1,1,prime,false
santiagobejarano,2020-11-06T23:41:02Z,Tier 1,1,1,gift,false
toljob,2020-11-24T22:49:43Z,Tier 1,1,1,gift,false
bizzymo,2020-11-07T00:23:01Z,Tier 1,1,1,subtoken,false
jeremy_33marrow,2020-11-13T21:53:48Z,Tier 3,1,1,recurring,false
jrichmanhiggins,2020-11-04T00:49:06Z,Tier 1,1,1,recurring,false
letitruncq,2020-10-08T22:20:43Z,Tier 1,2,2,recurring,false
marcoaureliori,2020-11-24T02:58:37Z,Tier 2,2,2,recurring,false
zackiexxx,2020-11-04T23:37:21Z,Tier 1,1,1,gift,false
pionnerpsaid,2020-11-04T23:50:31Z,Tier 1,1,1,gift,false
dylanjaggerlee,2020-10-29T20:18:52Z,Tier 1,1,1,recurring,false
pional,2020-11-12T19:44:17Z,Tier 1,1,1,subtoken,false
mainmusic1,2020-11-13T20:37:01Z,Tier 1,2,2,recurring,false
musicbyrangel,2020-11-24T03:12:31Z,Tier 1,1,1,subtoken,false
sirasounds,2020-09-30T17:43:09Z,Tier 1,2,2,recurring,true
tanastyyy,2020-11-13T21:52:07Z,Tier 1,1,1,gift,false
horst500,2020-11-13T22:13:36Z,Tier 1,1,1,gift,false
cedomirmix,2020-11-13T22:15:05Z,Tier 1,1,1,gift,false
arttupeljo,2020-11-22T07:59:07Z,Tier 1,1,1,subtoken,false
qazper_,2020-10-26T03:10:28Z,Tier 1,1,1,prime,false
stefanlit,2020-11-07T01:40:14Z,Tier 1,1,1,gift,false
